---SAE UIC MOTORSPORTS---
---Version #: 1.7---
Message ID: 0x0005AE01

Time Stamp (Second(s)), Engine Speed (RPM), Throttle (%), Intake Temp (C), Coolant Temp (C), Vehicle Speed (KPH), Lambda #2, Battery Voltage (V)
4.4395,4592.18,26.1715,8,32,0,0,13.8893
4.4595,4626.16,25.7809,7,31,0,0,13.8893
4.4695,4603.51,26.1715,8,32,0,0,13.7636
4.4795,4601.94,25.7809,7,32,0,0,13.7008
4.4895,4661.71,25.7809,8,31,0,0,13.8265
4.4995,4619.91,25.7809,7,32,0,0,13.8893
4.5095,4581.63,25.7809,8,31,0,0,13.638
4.5195,4648.82,25.7809,8,31,0,0,13.7008
4.5304,4554.68,26.1715,8,32,0,0,14.0779
4.5395,4569.13,25.7809,8,32,0,0,14.015
4.5496,4550.38,25.3903,8,32,0,0,13.638
4.5596,4546.47,25.7809,8,32,0,0,13.638
4.5696,4542.96,25.7809,8,32,0,0,14.1407
4.5804,4533.58,25.7809,7,32,0,0,13.7008
4.5896,4528.9,25.3903,8,33,0,0,13.638
4.6074,4515.61,25.3903,7,33,0,0,13.5751
4.6096,4551.55,25.3903,8,32,0,0,13.7008
4.6196,4537.88,25.3903,7,33,0,0,13.8265
4.6396,4503.9,25.3903,7,32,0,0,13.8265
4.6495,4528.51,25.7809,8,32,0,0,13.5123
4.6595,4544.52,26.1715,8,32,0,0,13.7636
4.6695,4556.24,26.5622,8,32,0,0,13.7008
4.6795,4582.41,26.9528,8,32,0,0,13.7008
4.6895,4614.44,27.3434,8,32,0,0,13.638
4.6995,4622.65,27.3434,7,32,0,0,13.7636
4.7273,4694.91,27.734,8,32,0,0,13.8893
4.7295,4660.93,27.3434,7,32,0,0,14.2036
4.7395,4719.52,27.3434,8,33,0,0,13.7636
4.7494,4694.13,27.734,8,32,0,0,13.638
4.7673,4759.36,27.734,8,33,0,0,13.5751
4.7696,4718.35,27.3434,8,33,0,0,13.8893
4.7796,4787.1,28.1246,7,32,0,0,13.7636
4.7904,4803.5,27.734,7,33,0,0,14.015
